City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Mafinga,TZ,-7.25,35.0667,77.29,32,15,12.33,few clouds
114,Chokurdakh,RU,70.6333,147.9167,56.25,85,100,6.17,overcast clouds
115,Bengkulu,ID,-3.8004,102.2655,75.45,90,56,4.0,broken clouds
116,Chuy,UY,-33.6971,-53.4616,58.55,69,0,8.9,clear sky
117,Carquefou,FR,47.2982,-1.4902,76.14,74,94,3.0,overcast clouds
118,Torbay,CA,47.6666,-52.7314,73.89,75,2,13.0,clear sky
119,Samarinda,ID,-0.5,117.15,73.72,98,96,2.73,overcast clouds
120,Haines Junction,CA,60.7522,-137.5108,53.13,70,61,0.47,broken clouds
121,Carnarvon,AU,-24.8667,113.6333,71.2,35,9,20.0,clear sky
122,Imbituba,BR,-28.24,-48.6703,67.08,80,3,17.0,clear sky
123,Collie,AU,-33.3667,116.15,40.24,90,28,5.79,scattered clouds
124,Castro,BR,-24.7911,-50.0119,62.64,66,67,5.1,broken clouds
125,Iqaluit,CA,63.7506,-68.5145,45.7,81,100,21.0,overcast clouds
126,Hluti,SZ,-27.2167,31.6167,64.36,38,0,4.47,clear sky
127,Nouadhibou,MR,20.931,-17.0347,71.85,89,32,16.73,scattered clouds
128,Kruisfontein,ZA,-34.0033,24.7314,56.88,83,47,5.32,scattered clouds
129,Saint-Felicien,CA,48.6501,-72.4491,73.69,69,90,0.94,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,59.09,84,59,4.0,broken clouds
131,Kodiak,US,57.79,-152.4072,52.57,99,100,16.2,moderate rain
132,Nome,US,64.5011,-165.4064,46.58,86,6,5.93,clear sky
133,San Antonio,US,29.4241,-98.4936,87.19,72,100,1.01,overcast clouds
134,Barcelos,PT,41.5388,-8.6151,96.91,39,68,14.03,broken clouds
135,Aklavik,CA,68.2191,-135.0107,37.74,82,100,4.0,overcast clouds
136,Urshelskiy,RU,55.6783,40.2169,74.93,46,100,3.0,overcast clouds
137,Scicli,IT,36.7902,14.7014,80.4,58,89,8.61,overcast clouds
138,Launceston,AU,-41.45,147.1667,40.15,91,100,1.86,overcast clouds
139,Poronaysk,RU,49.2167,143.1167,60.98,90,100,6.17,light rain
140,Marawi,PH,7.9986,124.2928,69.28,90,100,5.26,overcast clouds
141,Santa Isabel,BR,-23.3156,-46.2214,71.85,45,37,4.85,scattered clouds
142,Santa Cruz,BO,-17.8,-63.1667,80.51,17,68,3.89,broken clouds
143,Batemans Bay,AU,-35.7167,150.1833,56.1,69,6,7.56,clear sky
144,Saint Anthony,US,45.0205,-93.218,79.83,59,58,1.99,broken clouds
145,Saint-Philippe,RE,-21.3585,55.7679,72.21,75,42,8.79,scattered clouds
146,Vanimo,PG,-2.6741,141.3028,77.27,90,57,8.48,broken clouds
147,Barrow,US,71.2906,-156.7887,34.9,80,100,21.99,overcast clouds
148,Damghan,IR,36.1683,54.348,77.52,34,0,6.22,clear sky
149,Lishui,CN,28.4604,119.9103,83.88,71,100,2.42,overcast clouds
150,Diban,SY,35.0365,40.5167,97.74,16,0,7.54,clear sky
151,Asosa,ET,10.0667,34.5333,62.02,93,99,1.48,moderate rain
152,Luderitz,NA,-26.6481,15.1594,68.74,44,1,5.68,clear sky
153,Katsuura,JP,35.1333,140.3,77.14,93,81,0.72,broken clouds
154,Borba,BR,-4.3878,-59.5939,95.43,27,77,4.63,broken clouds
155,Havre-Saint-Pierre,CA,50.2334,-63.5986,63.52,95,100,9.35,overcast clouds
156,Maua,BR,-23.6678,-46.4614,66.36,57,40,7.31,scattered clouds
157,Saldanha,ZA,-33.0117,17.9442,57.76,79,3,14.97,clear sky
158,Mporokoso,ZM,-9.3727,30.125,74.5,25,54,5.7,broken clouds
159,Thai Binh,VN,20.45,106.3333,82.2,85,100,5.44,overcast clouds
160,Jalu,LY,29.0331,21.5482,95.18,22,0,11.36,clear sky
161,Chapais,CA,49.7834,-74.8492,72.07,45,35,5.41,scattered clouds
162,Namie,JP,37.4833,141.0,76.71,94,91,3.24,overcast clouds
163,Sabang,ID,5.8933,95.3214,82.54,74,100,19.35,overcast clouds
164,Frankfort,ZA,-27.2667,28.4833,57.69,29,0,3.42,clear sky
165,Hambantota,LK,6.1241,81.1185,79.77,78,99,17.11,overcast clouds
166,Sur,OM,22.5667,59.5289,90.37,59,80,4.12,broken clouds
167,Khandyga,RU,62.6667,135.6,43.59,86,100,5.5,overcast clouds
168,Dawlatabad,AF,36.4141,64.9053,76.78,13,10,6.69,clear sky
169,Yulara,AU,-25.2406,130.9889,51.53,53,0,28.81,clear sky
170,Mayumba,GA,-3.432,10.6554,72.28,89,100,9.01,overcast clouds
171,Airai,TL,-8.9266,125.4092,55.04,91,46,3.94,scattered clouds
172,Floro,NO,61.5996,5.0328,58.96,77,64,7.9,broken clouds
173,Faya,SA,18.3851,42.4509,71.15,56,83,3.38,broken clouds
174,Najran,SA,17.4924,44.1277,93.2,14,53,11.25,broken clouds
175,Aykhal,RU,66.0,111.5,36.73,99,100,7.63,overcast clouds
176,Anadyr,RU,64.75,177.4833,50.0,57,100,11.01,overcast clouds
177,Victoria,HK,22.2855,114.1577,87.19,85,35,8.99,scattered clouds
178,Chachapoyas,PE,-6.2317,-77.869,65.8,45,42,5.03,scattered clouds
179,Palmer,US,42.1584,-72.3287,75.58,77,100,1.01,overcast clouds
180,Bonthe,SL,7.5264,-12.505,80.76,75,65,13.27,light rain
181,Karaton,ID,-6.3424,106.1045,74.35,92,45,0.36,scattered clouds
182,Bathsheba,BB,13.2167,-59.5167,82.94,75,97,12.95,overcast clouds
183,Ostrovnoy,RU,68.0531,39.5131,65.71,57,67,23.02,broken clouds
