City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Dickson,US,81.95,overcast clouds,36.077,-87.3878,East Hills Bed & Breakfast Inn
307,Nanakuli,US,77.11,clear sky,21.3906,-158.1547,Camp Pālehua
309,Tongchuan,CN,77.43,broken clouds,35.0806,109.0897,Tongchuan Hotel
311,Along,IN,78.17,few clouds,28.1667,94.7667,Hotel West
312,Muros,ES,84.69,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
313,Hobyo,SO,76.6,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
315,Wuwei,CN,73.76,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
316,Cap Malheureux,MU,71.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
317,Lata,PT,84.49,clear sky,40.1629,-8.3327,Casa Maquia
318,Nargana,PA,81.46,overcast clouds,9.4428,-78.5906,Dubbir
319,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
322,Sandpoint,US,75.72,overcast clouds,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
323,Nabire,ID,75.76,broken clouds,-3.3667,135.4833,Hotel Nusantara I
327,Nueva Loja,EC,74.7,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
329,San Quintin,MX,71.28,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
333,Bhinmal,IN,81.54,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
334,Shache,CN,74.71,overcast clouds,38.4167,77.2406,Delong Hotel
338,Huaicheng,CN,79.72,overcast clouds,23.9051,112.1931,Tengye Hotel
341,Meulaboh,ID,78.13,light rain,4.1363,96.1285,Kost Pria
342,Abonnema,NG,81.91,light rain,4.7084,6.7931,Corper's Lodge Obonoma
343,Libertador General San Martin,AR,73.98,clear sky,-23.8064,-64.7876,Posada del Sol
344,Kendari,ID,72.05,few clouds,-3.945,122.4989,Hotel Wixel
349,Eureka,US,70.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
350,Xuddur,SO,83.93,clear sky,4.1213,43.8894,Banjanay Hotel
352,Hasaki,JP,75.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
358,Banda Aceh,ID,79.47,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
360,Vila,PT,83.7,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
362,Chardara,KZ,73.18,clear sky,41.2547,67.9692,Жанаргул
366,Oktyabrskoye,RU,76.35,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
375,Maceio,BR,78.1,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
376,Westport,US,77.09,overcast clouds,41.1415,-73.3579,The Westport Inn
378,Dixon,US,74.89,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
379,Karratha,AU,72.84,light rain,-20.7377,116.8463,ibis Styles Karratha
381,Labuhan,ID,78.35,scattered clouds,-6.8844,112.2051,DoubleFAG
382,Negombo,LK,79.57,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
383,Quang Ngai,VN,78.28,broken clouds,15.1167,108.8,Central Hotel
384,Oktyabrskiy,RU,71.51,clear sky,54.4815,53.471,Гостиница Октябрьская
386,Mae Hong Son,TH,74.89,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
388,Beyneu,KZ,84.07,clear sky,45.3167,55.2,NUR
389,Kapit,MY,73.65,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
391,Huambo,AO,81.28,few clouds,-12.7761,15.7392,SiSHotel
396,Cha Grande,BR,73.8,overcast clouds,-8.2383,-35.4617,Pousada Adália
400,Basoko,CD,76.48,moderate rain,1.2391,23.616,Jackyna Hotel
401,Gharo,PK,83.28,overcast clouds,24.7424,67.5856,Fotis Lodge
403,Mezen,RU,70.52,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
404,Lufilufi,WS,78.24,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
405,Arkhangelsk,RU,73.11,overcast clouds,64.5401,40.5433,DVINA HOTEL
406,Kloulklubed,PW,84.29,broken clouds,7.0419,134.2556,Storyboard Beach Resort
413,Lhokseumawe,ID,79.61,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
416,Casambalangan,PH,78.49,overcast clouds,18.3765,122.1274,Villa Saturnina
417,Boyolangu,ID,74.03,broken clouds,-8.1181,111.8935,Yos ega cv
418,Ukiah,US,76.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
419,Namatanai,PG,78.37,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
420,Kota Tinggi,MY,82.29,broken clouds,1.7381,103.8999,Canopy Tribe
426,Sredniy Ikorets,RU,82.44,broken clouds,51.0675,39.7584,"Motel' ""Yolochka"""
427,Samarai,PG,78.55,light rain,-10.6167,150.6667,Nuli Sapi
428,Yankton,US,78.12,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
429,San Juan De Uraba,CO,84.58,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
430,Radom,PL,80.13,broken clouds,51.4025,21.1471,Hotel Iskra - Radom
433,Bloomington,US,80.33,broken clouds,44.8408,-93.2983,La Quinta Inn by Wyndham Minneapolis Airport Bloomington
434,Kavaratti,IN,81.21,moderate rain,10.5669,72.642,Green leaf
435,Marsh Harbour,BS,84.72,few clouds,26.5412,-77.0636,Abaco Beach Resort
436,Pathein,MM,74.73,overcast clouds,16.7833,94.7333,Pathein Hotel
437,Hami,CN,76.39,overcast clouds,42.8,93.45,Laoyutang Resort
438,Kinkala,CG,81.68,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
440,Dryden,CA,71.49,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
442,Cornelio Procopio,BR,70.16,clear sky,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
444,Goderich,CA,73.9,overcast clouds,43.7501,-81.7165,Harmony Inn
445,Save,BJ,83.97,light rain,8.0425,2.486,Le Cercle du Rail
446,Maumere,ID,76.96,scattered clouds,-8.6199,122.2111,Sylvia Hotel
447,South Bend,US,76.21,clear sky,41.6834,-86.25,DoubleTree by Hilton Hotel South Bend
448,Sechura,PE,73.2,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
449,Joshimath,IN,70.38,moderate rain,30.5667,79.5667,Shivalik Camps & Resort
452,Davila,PH,81.41,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
455,Daigo,JP,71.71,overcast clouds,36.7667,140.35,Hotel Okukujikan
457,Flagstaff,US,73.56,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
461,Cortes,ES,83.98,clear sky,41.9395,-1.4396,Rincon de bu
464,Margate,GB,74.1,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
467,Kanzaki,JP,83.05,overcast clouds,33.3,130.3667,ホテル 和幸
468,Seoul,KR,76.51,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
469,Bubaque,GW,82.02,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
470,Seydi,TM,77.09,clear sky,39.4816,62.9137,Seydi oteli
474,Kindu,CD,84.4,scattered clouds,-2.95,25.95,Résidence Okanda
475,Lubango,AO,76.28,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
476,Port-Gentil,GA,75.38,overcast clouds,-0.7193,8.7815,Fengshui Residence
477,Mao,ES,80.22,scattered clouds,39.8885,4.2658,ARTIEM Capri
480,Baringo,KE,76.42,broken clouds,0.4667,35.9667,Khoisang Hostels
481,Guerrero Negro,MX,72.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
482,Qui Nhon,VN,80.82,overcast clouds,13.7667,109.2333,Seagull Hotel
485,Salvador,SV,83.05,broken clouds,13.8333,-88.9167,Chico's Ranch
488,Gorontalo,ID,75.06,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
489,Eyl,SO,77.2,overcast clouds,7.9803,49.8164,Amiin Hotel
490,Miracema,BR,76.86,scattered clouds,-21.4122,-42.1967,Novo Hotel Varandas
491,Nogales,MX,76.71,scattered clouds,31.3086,-110.9422,Siesta Motel
492,Russell,US,79.02,overcast clouds,32.3502,-85.1999,Macs
497,Jatiroto,ID,71.8,broken clouds,-7.8833,111.1167,Mushola Al Huda
498,Vila Franca Do Campo,PT,73.8,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
499,Alofi,NU,73.92,clear sky,-19.0595,-169.9187,Taloa Heights
504,Hanzhong,CN,80.13,overcast clouds,33.0728,107.0303,Guorui Hotel
506,Beirut,LB,80.38,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
